SID,CID,AGE,GENDER,SE,GE,HS,TM,SATC,PU,pre-test,mid-term,final_score,SAS1,SAS2,SAS3,happy,sad,angry,bored,video_watch,video_time,slide_download,posts,comments,views,attempts,code_edits,code_run,code_time_on_task
S128,C2,21,M,0.438,0.667,0.824,0.571,1,0.722,High,0.632,0.632,0.634,0.789,0.579,0.315,0.053,0.071,0.173,7,584.42,7,6,2,8,6,182,211,908.09
S129,C2,22,NB,0.75,0.722,0.824,0.786,0.833,0.944,Medium,0.789,0.789,0.737,0.947,0.947,0.272,0.123,0.064,0.18,8,920.61,4,10,12,22,9,81,99,1056.01
S13,C1,21,TF,0.75,0.722,0.824,0.643,0.889,0.611,High,0.684,0.737,0.588,0.789,0.789,0.321,0.226,0.174,0.24,8,821.27,1,6,11,17,8,80,122,573.04
S130,C2,18,M,0.625,0.611,0.824,0.571,1,0.667,Low,0.684,0.579,0.327,0.947,0.947,0.005,0.287,0.294,0.118,6,351.8,7,9,5,15,5,96,204,922.41
S131,C2,19,F,0.313,0.278,0.235,0.286,0.611,1,Medium,0.474,0.684,0.588,0.526,0.474,0.371,0.19,0.218,0.308,8,261.48,7,5,5,10,8,300,265,446.04
S132,C2,22,M,0.563,0.611,0.765,0.714,0.778,0.889,High,0.579,0.474,0.614,0.474,0.614,0.122,0.132,0.006,0.318,5,871.92,4,9,6,15,3,35,298,1134.07
S133,C2,22,F,0.625,0.778,0.941,0.643,0.5,1,High,0.842,0.632,0.643,0.947,0.947,0.262,0.017,0.016,0.277,7,367.44,8,10,9,20,8,296,281,971.87
S134,C2,23,M,0.625,0.778,0.706,0.786,0.722,0.667,Low,0.947,0.842,0.71,0.947,0.789,0.643,0.217,0.153,0.137,9,1498.26,8,6,3,9,9,334,316,1181.76
S135,C2,27,M,0.5,0.333,0.588,0.357,1,0.833,Medium,0.632,0.632,0.573,0.632,0.737,0.212,0.258,0.17,0.047,7,438.87,8,4,4,9,6,182,111,1081.2
S136,C2,27,F,0.5,0.556,0.882,0.357,0.944,0.889,Medium,0.947,0.947,0.895,0.632,0.895,0.425,0.174,0.034,0.287,8,825.65,5,7,5,12,7,238,184,1054.53
S137,C2,18,F,0.375,0.667,0.176,0.714,0.833,0.944,Medium,0.684,0.684,0.327,0.526,0.632,0.341,0.219,0.228,0.248,7,87.98,3,6,7,13,5,95,79,916.18
S138,C2,27,M,0.563,0.556,0.824,0.5,0.833,1,Medium,0.684,0.632,0.842,0.947,0.947,0.239,0.26,0.397,0.22,7,389.99,7,11,11,22,6,226,237,589.45
S139,C2,21,M,0.813,0.944,0.882,1,0.833,0.944,Low,0.895,0.632,0.671,0.737,0.737,0.082,0.414,0.18,0.185,8,919.93,8,3,6,9,5,92,166,1136.28
S14,C1,25,M,0.563,0.611,0.588,0.571,1,0.833,Medium,0.684,0.632,0.622,0.526,0.684,0.262,0.165,0.119,0.274,7,987.26,10,9,7,19,6,181,204,1473.73
S140,C2,26,M,0.625,0.333,0.471,0.429,0.778,0.5,High,0.579,0.579,0.622,0.947,0.842,0.035,0.152,0.211,0.091,6,683.48,5,11,9,20,4,63,118,980.96
S141,C2,24,F,0.375,0.5,0.824,1,1,0.833,High,0.579,0.579,0.327,0.474,0.643,0.135,0.222,0.084,0.07,6,1162.58,5,8,5,13,4,60,188,1203.02
S142,C2,27,M,0.438,0.556,0.706,0.571,1,0.944,High,0.684,0.737,0.842,0.804,0.804,0.458,0.087,0.064,0.265,5,1608.24,6,9,8,18,9,333,327,1469.69
S143,C2,19,M,0.438,0.611,0.588,0.571,0.611,0.5,Low,0.737,0.789,0.682,0.789,0.5,0.301,0.132,0.371,0.119,8,939.42,4,9,9,18,8,295,186,1423.25
S144,C2,23,F,0.75,0.556,0.529,0.643,0.611,0.556,Medium,0.632,0.579,0.573,0.588,0.842,0.064,0.091,0.137,0.165,6,1048.26,9,11,11,21,5,89,329,1292.92
S145,C2,21,TM,0.625,0.667,0.706,0.786,0.611,0.278,Medium,0.737,0.842,0.71,0.737,0.444,0.306,0.242,0.152,0.332,9,69.83,1,7,4,11,9,71,24,1654.08
S146,C2,25,NB,0.688,0.833,0.882,0.857,0.944,0.778,Low,0.684,0.789,0.682,0.737,0.804,0.206,0.419,0.246,0.054,8,614.42,2,8,9,17,7,236,209,965.66
S147,C2,26,F,0.938,0.889,0.882,0.929,0.944,0.778,High,1,0.684,0.737,0.737,0.737,0.299,0.174,0.577,0.263,9,921.95,3,4,5,9,6,180,179,697.03
S148,C2,19,F,0.625,0.667,0.941,0.786,1,1,High,0.895,0.947,0.491,0.632,0.632,0.482,0.218,0.14,0.121,7,642.79,8,14,15,30,11,81,24,1654.08
S149,C2,25,M,0.688,0.722,0.765,0.857,0.778,0.667,High,0.789,0.737,0.682,0.789,0.682,0.349,0.011,0.096,0.209,8,778.01,8,7,6,13,9,327,275,938.98
S15,C1,26,F,0.625,0.556,0.529,0.571,0.722,1,Medium,0.684,0.737,0.682,0.682,0.682,0.347,0.188,0.229,0.167,5,461.62,2,10,11,21,11,182,148,1245.49
S150,C2,27,F,0.688,0.722,0.824,0.786,0.778,0.778,Medium,0.895,0.579,0.804,0.947,0.947,0.242,0.431,0.261,0.297,6,502.47,0,9,8,17,6,177,305,1315.65
S16,C1,19,TF,0.438,0.556,0.765,0.571,0.833,0.778,Low,0.684,0.737,0.842,0.804,0.804,0.173,0.351,0.326,0.056,8,831.81,6,5,7,12,6,172,110,759
S17,C1,25,F,0.5,0.389,0.471,0.5,0.944,0.5,Medium,0.684,0.789,0.588,0.684,0.684,0.19,0.062,0.175,0.022,6,451.28,0,11,6,17,9,325,117,1654.08
S18,C1,26,F,0.438,0.778,0.882,0.714,1,0.944,Medium,0.895,0.789,0.588,0.895,0.444,0.373,0.082,0.093,0.056,5,585.44,6,11,12,24,10,355,375,1444.99
S19,C1,19,M,0.625,0.556,0.412,0.714,0.444,0.611,Low,0.632,0.737,0.737,0.526,0.526,0.149,0.168,0.327,0.046,8,579.16,10,9,5,16,7,230,124,1384.56
S2,C1,25,TM,0.438,0.444,0.765,0.357,0.889,0.5,Medium,0.632,0.579,0.696,0.632,0.474,0.248,0.178,0.064,0.244,6,477.71,6,13,11,24,6,167,283,902.89
S20,C1,26,M,0.188,0.167,0.235,0.143,0.722,0.833,High,0.579,0.579,0.622,0.588,0.722,0.197,0.143,0.001,0.173,6,414.92,5,12,4,16,7,45,130,791.52
S21,C1,24,F,0.375,0.611,0.706,0.5,0.778,0.778,Low,0.737,0.684,0.682,0.682,0.682,0.142,0.337,0.411,0.133,7,285.97,4,5,6,11,7,226,285,651.88
S22,C1,27,M,0.75,0.778,0.765,0.786,0.833,0.722,Low,0.895,0.474,0.682,0.526,0.682,0.068,0.449,0.171,0.132,6,351.79,2,8,5,13,4,100,282,823.68
S23,C1,19,M,0.313,0.278,0.176,0.214,0.833,1,Medium,0.474,0.737,0.643,0.737,0.737,0.195,0.149,0.361,0.194,8,510.99,6,5,8,13,9,182,171,979.22
S24,C1,21,F,0.875,1,1,0.714,1,1,Low,0.947,0.947,0.895,0.737,0.737,0.653,0.107,0.159,0.204,10,749.74,8,9,9,18,9,324,279,1679.71
S25,C1,24,F,0.188,0.333,0.882,0.143,1,0.556,Low,0.632,0.684,0.409,0.588,0.632,0.176,0.45,0.259,0.122,7,299.45,3,11,7,18,9,45,49,772.31
S26,C1,18,F,0.5,0.444,0.529,0.357,1,0.833,Low,0.684,0.684,0.682,0.947,0.947,0.266,0.25,0.39,0.147,7,360.32,5,1,2,3,7,226,252,664.86
S27,C1,21,M,0.563,0.556,0.765,0.571,0.944,0.833,High,0.684,0.526,0.45,0.474,0.474,0.372,0.223,0.178,0.172,6,590.55,4,12,6,18,5,88,119,827.01
S28,C1,26,F,0.688,0.778,0.824,0.786,0.833,1,Low,0.895,0.737,0.643,0.895,0.895,0.111,0.044,0.386,0.103,6,896.65,8,13,6,21,7,224,124,657.22
S29,C1,20,M,0.688,0.611,0.647,0.643,0.833,0.833,High,0.789,0.842,0.71,0.474,0.789,0.368,0.145,0.117,0.094,5,855.19,5,9,6,15,11,23,23,1491.35
S3,C1,19,M,0.75,0.778,0.882,0.714,0.889,0.833,Medium,0.842,0.579,0.491,0.526,0.643,0.303,0.079,0.156,0.313,6,1000.1,4,5,4,9,4,55,36,770.89
S30,C1,21,TF,0.75,0.778,0.765,0.857,0.722,0.833,High,0.842,0.895,0.71,0.632,0.632,0.463,0.074,0.183,0.167,4,512.78,0,6,4,10,12,390,106,1041.38
S31,C1,20,F,0.438,0.444,0.765,0.429,0.889,0.778,Low,0.632,0.579,0.655,0.684,0.684,0.037,0.215,0.367,0.015,6,411.41,0,9,4,13,5,88,237,821.85
S32,C1,25,F,0.625,0.722,0.824,0.786,0.778,0.778,Low,0.947,0.895,0.804,0.737,0.737,0.631,0.057,0.158,0.175,9,768.93,5,2,4,6,6,167,184,1404.07
S33,C1,20,NB,0.688,0.667,0.824,0.643,1,0.778,Medium,0.684,0.632,0.573,0.474,0.684,0.183,0.243,0.269,0.217,7,424.73,4,16,7,23,6,164,122,899.19
S34,C1,23,F,0.375,0.444,0.824,0.357,1,1,Low,0.579,0.526,0.804,0.588,0.588,0.044,0.302,0.373,0.067,6,254.68,9,11,12,26,6,157,144,1414.5
S35,C1,25,F,0.688,0.722,0.941,0.786,1,0.778,Low,0.842,0.526,0.678,0.947,0.678,0.067,0.485,0.245,0.105,8,579.05,6,6,8,14,7,221,256,1104.53
S36,C1,21,F,0.375,0.444,0.588,0.357,0.944,0.667,Low,0.737,0.737,0.682,0.684,0.682,0.21,0.049,0.217,0.093,8,586.87,3,3,2,5,9,319,118,1322.96
S37,C1,19,F,0.5,0.778,0.471,0.5,0.833,0.778,Low,0.947,0.947,0.895,0.684,0.778,0.492,0.103,0.005,0.079,6,821.39,8,6,1,9,4,49,55,1654.08
S38,C1,22,F,0.438,0.5,0.647,0.429,0.778,0.556,Medium,0.684,0.737,0.643,0.588,0.588,0.11,0.181,0.085,0.15,8,510.59,0,7,1,8,8,45,53,1205.49
S39,C1,20,M,0.563,0.722,0.765,0.571,1,1,Medium,0.947,0.842,0.804,0.632,0.842,0.374,0.208,0.155,0.232,9,1194.84,7,6,2,8,10,355,75,1024.38
S4,C1,24,M,0.5,0.667,0.824,0.643,0.944,0.944,Medium,0.684,0.684,0.643,0.947,0.684,0.263,0.144,0.277,0.385,7,673.31,7,6,4,10,6,45,169,1253.08
S40,C1,20,TM,0.438,0.611,0.765,0.571,0.944,0.944,Medium,0.579,0.579,0.634,0.737,0.737,0.205,0.324,0.127,0.324,6,356.14,6,5,6,11,6,153,293,832.95
S41,C1,18,M,0.25,0.333,0.412,0.357,0.5,0.444,Low,0.526,0.579,0.511,0.684,0.444,0.171,0.327,0.304,0.05,8,839.44,2,9,9,18,4,226,196,723.21
S42,C1,18,M,0.438,0.611,0.765,0.571,0.833,0.833,Medium,0.579,0.842,0.696,0.632,0.632,0.209,0.151,0.112,0.323,9,950.36,7,9,5,14,11,375,190,1346.32
S43,C1,21,M,0.813,1,0.941,0.857,0.654,1,Medium,0.842,0.737,0.682,0.684,0.842,0.278,0.126,0.144,0.342,8,1276.9,5,9,11,24,7,45,58,1309.29
S44,C1,19,NB,0.5,0.611,0.471,0.429,0.5,0.833,Medium,0.526,0.579,0.634,0.588,0.5,0.267,0.207,0.219,0.18,6,373.95,4,3,11,14,4,45,50,1406.24
S45,C1,23,F,0.5,0.889,0.824,0.571,0.889,0.833,Low,0.684,0.684,0.682,0.682,0.682,0.142,0.324,0.374,0.21,7,794.85,6,5,2,7,7,219,296,973.93
S46,C1,21,M,0.563,0.833,0.941,0.857,1,0.944,High,0.842,0.842,0.804,0.588,0.588,0.331,0.065,0.272,0.194,9,1694.96,8,2,4,6,6,151,45,1081.11
S47,C1,24,M,0.688,0.778,0.824,0.714,0.889,0.778,High,0.842,0.789,0.682,0.789,0.789,0.324,0.145,0.088,0.31,8,634.77,1,9,5,14,10,23,55,966.23
S48,C1,23,F,0.563,0.556,0.647,0.571,1,0.944,Low,0.684,0.684,0.588,0.737,0.737,0.156,0.305,0.441,0.131,7,616.79,5,11,6,17,9,318,340,1149.02
S49,C1,22,F,0.125,0.444,0.882,0.214,0.944,0.722,Low,0.789,0.842,0.71,0.947,0.722,0.313,0.156,0.075,0.079,7,472.09,6,9,7,16,7,216,139,1491.35
S5,C1,19,M,0.563,0.556,0.765,0.571,1,0.667,High,0.737,0.895,0.804,0.632,0.842,0.413,0.045,0.149,0.175,7,705.15,4,7,4,11,8,37,24,1040.51
S50,C1,26,F,0.5,0.444,0.824,0.643,1,0.889,Medium,0.789,0.474,0.895,0.588,0.789,0.123,0.393,0.168,0.232,9,1064.95,6,12,12,24,3,226,176,1265.77
S51,C1,23,F,0.688,0.667,0.706,0.714,1,0.833,Low,0.737,0.789,0.737,0.684,0.684,0.259,0.161,0.205,0.003,8,603.65,6,14,11,25,6,149,99,704.91
S52,C1,21,F,0.625,0.5,0.647,0.357,1,0.611,Low,0.632,0.632,0.573,0.947,0.579,0.029,0.42,0.224,0.018,7,574.58,6,10,12,22,7,216,218,1203
S53,C1,26,F,0.5,0.667,0.824,0.571,0.889,0.833,Low,0.579,0.474,0.737,0.684,0.684,0.022,0.304,0.384,0.097,4,419.03,7,7,1,11,5,87,147,1084.75
S54,C1,21,F,0.625,0.556,0.706,0.571,0.778,0.667,Low,0.579,0.579,0.573,0.947,0.778,0.074,0.35,0.293,0.036,6,887.89,0,11,14,25,3,26,69,1266.55
S55,C1,22,F,0.313,0.389,0.647,0.889,0.889,0.944,Low,0.632,0.737,0.643,0.684,0.737,0.35,0.153,0.307,0.188,8,432.28,7,7,15,22,10,87,77,1228.2
S56,C1,26,F,0.438,0.778,0.941,0.714,1,1,Low,1,1,0.895,0.588,1,0.305,0.186,0.159,0.045,6,993.3,10,9,7,20,6,148,99,1382.95
S57,C1,19,F,0.688,0.889,0.941,0.786,0.944,0.944,Low,0.737,0.632,0.634,0.474,0.737,0.156,0.351,0.199,0.311,7,644.41,6,3,8,11,6,147,186,1026.36
S58,C1,24,M,0.688,0.556,0.706,0.5,0.833,0.611,Medium,0.684,0.789,0.588,0.632,0.632,0.288,0.159,0.135,0.175,6,1008.22,3,10,8,18,11,372,169,1361.1
S59,C1,18,M,0.75,0.722,0.882,0.571,0.889,0.667,Medium,0.789,0.895,0.71,0.474,0.789,0.345,0.179,0.22,0.263,9,564.81,6,10,8,18,11,103,99,1195.15
S6,C1,25,TF,0.625,0.722,0.941,0.714,1,0.833,Low,0.684,0.789,0.643,0.947,0.737,0.231,0.168,0.198,0.197,8,842.17,3,10,8,18,8,81,137,910.64
S60,C1,21,M,0.375,0.444,0.176,0.286,0.833,0.667,Low,0.632,0.789,0.682,0.684,0.684,0.191,0.099,0.412,0.134,8,699.71,5,2,8,10,8,263,399,1029.81
S61,C1,19,TF,0.813,0.667,0.882,0.714,1,0.889,Low,0.789,0.842,0.696,0.526,0.526,0.542,0.136,0.028,0.038,6,643.81,8,6,9,17,9,37,24,1491.35
S62,C1,19,M,0.375,0.444,0.647,0.286,0.889,0.667,High,0.684,0.842,0.696,0.632,0.632,0.304,0.135,0.085,0.065,6,1160.83,5,4,5,9,8,260,211,1163.31
S63,C1,22,M,0.5,0.5,0.765,0.429,0.833,1,Medium,0.737,0.737,0.842,0.737,0.737,0.331,0.039,0.218,0.256,8,668.39,8,11,6,17,7,212,162,505.56
S64,C1,22,M,0.813,0.722,0.824,0.786,1,0.778,Medium,0.789,0.842,0.895,0.842,0.842,0.296,0.151,0.199,0.133,9,518.53,4,5,7,12,8,259,211,893.81
S65,C1,27,M,0.688,0.833,0.824,0.714,0.778,0.778,Low,0.842,0.895,0.511,0.684,0.684,0.463,0.165,0.22,0.164,9,921.63,5,9,4,13,9,311,211,1106.39
S66,C1,26,F,0.5,0.611,0.882,0.214,0.833,0.944,Medium,0.632,0.789,0.682,0.588,0.588,0.239,0.15,0.357,0.128,6,550.2,4,14,6,20,7,212,73,986.23
S67,C1,23,M,0.625,0.667,0.824,0.714,0.944,0.889,Low,0.684,0.789,0.643,0.588,0.588,0.218,0.207,0.375,0.19,8,641.59,4,8,4,12,9,311,174,1161.04
S68,C1,22,F,0.5,0.667,0.882,0.786,1,0.833,Low,0.579,0.474,0.643,0.947,0.643,0.021,0.318,0.215,0.006,5,205.38,7,9,6,17,3,23,337,805.3
S69,C1,20,M,0.75,0.833,0.882,0.857,0.944,0.889,Medium,0.895,0.737,0.842,0.804,0.895,0.348,0.106,0.093,0.18,8,123.37,7,10,7,17,8,258,157,1761.26
S7,C1,25,M,0.625,0.556,0.765,0.429,1,1,Medium,0.737,0.842,0.804,0.947,0.947,0.251,0.184,0.118,0.22,5,353.37,4,8,8,16,5,86,88,1344.89
S70,C1,18,F,0.688,0.667,0.882,0.714,0.833,0.889,High,0.737,0.684,0.643,0.737,0.889,0.462,0.177,0.134,0.142,7,641.55,5,6,9,15,5,100,106,884.26
S71,C1,21,M,0.75,0.778,0.882,0.786,0.889,0.667,Medium,0.789,0.684,0.682,0.632,0.632,0.262,0.192,0.147,0.283,7,743.29,7,4,6,10,6,145,145,958.69
S72,C1,20,M,0.625,0.667,0.412,1,1,0.944,High,0.737,0.474,0.588,0.588,0.588,0.031,0.392,0.169,0.193,7,522.98,3,4,5,9,3,100,370,778.42
S73,C1,24,F,0.125,0.278,0.471,0.143,0.556,0.333,Medium,0.526,0.526,0.378,0.474,0.474,0.319,0.141,0.174,0.011,6,272.08,5,4,4,8,6,142,151,1228.22
S74,C1,19,TM,0.938,0.778,0.765,0.857,1,0.833,High,0.789,0.737,0.682,0.526,0.737,0.265,0.028,0.169,0.046,8,1007.25,7,10,3,13,7,80,99,983.94
S75,C1,23,F,0.875,0.889,0.882,0.571,0.944,0.889,Medium,0.632,0.842,0.71,0.947,0.789,0.469,0.047,0.044,0.182,6,1473.31,6,8,6,14,6,135,80,1204.22
S76,C2,27,TF,0.438,0.278,0.176,0.571,0.444,0.611,High,0.842,0.789,0.842,0.588,0.804,0.278,0.079,0.11,0.17,8,780.77,9,2,7,10,6,133,116,704.26
S77,C2,18,TF,0.75,0.778,0.941,0.929,0.889,0.667,Low,0.737,0.632,0.696,0.632,0.632,0.106,0.462,0.332,0.034,7,910.65,5,12,8,20,6,131,164,1225.36
S78,C2,21,TF,0.688,0.611,0.706,0.714,1,0.667,High,0.684,0.684,0.643,0.789,0.632,0.319,0.158,0.2,0.19,7,619.54,3,8,9,17,7,211,224,1430.37
S79,C2,26,M,0.438,0.5,0.471,0.571,0.5,0.833,Medium,0.632,0.579,0.573,0.474,0.474,0.211,0.138,0.042,0.17,6,759.24,2,9,9,18,5,82,258,1354.82
S8,C1,19,F,0.688,0.667,0.706,0.571,0.778,0.556,Low,0.684,0.632,0.622,0.622,0.579,0.151,0.334,0.309,0.046,4,398.69,3,14,12,26,5,81,167,1127.23
S80,C2,26,F,0.25,0.5,0.765,0.214,0.944,0.667,High,0.632,0.632,0.378,0.588,0.684,0.359,0.202,0.14,0.171,7,382.43,0,0,1,1,6,45,52,1077.84
S81,C2,19,M,0.5,0.556,0.882,0.357,1,0.667,Medium,0.632,0.526,0.608,0.684,0.684,0.194,0.165,0.143,0.408,8,1157.68,6,4,2,6,4,44,390,1570.85
S82,C2,26,NB,0.5,0.5,0.647,0.5,0.611,0.389,Medium,0.579,0.526,0.71,0.789,0.389,0.332,0.136,0.022,0.319,6,747.89,6,6,3,9,4,37,216,1105.19
S83,C2,25,F,0.5,0.667,0.235,0.643,0.722,0.722,Medium,0.895,0.684,0.682,0.895,0.722,0.22,0.15,0.246,0.2,7,817.72,5,4,5,9,6,118,132,578.39
S84,C2,27,F,0.688,0.833,0.941,0.857,1,0.722,Medium,0.842,0.842,0.804,0.857,0.722,0.42,0.283,0.07,0.252,6,1293.53,8,5,3,10,9,23,88,1128.68
S85,C2,21,F,0.75,0.667,0.824,0.714,0.944,0.833,Low,0.632,0.579,0.79,0.947,0.947,0.101,0.373,0.287,0.16,8,1301.25,8,12,5,17,5,80,314,732.56
S86,C2,21,F,0.688,0.667,0.765,0.214,0.778,0.778,High,0.684,0.526,0.681,0.588,0.526,0.396,0.006,0.151,0.145,6,479.8,6,11,8,19,2,12,13,1139.94
S87,C2,21,F,0.438,0.333,0.765,0.286,0.833,0.944,Low,0.632,0.579,0.573,0.947,0.842,0.147,0.364,0.185,0.156,6,307.64,4,7,2,9,6,115,232,667.14
S88,C2,27,M,0.813,0.667,0.824,0.786,0.778,0.667,Medium,0.684,0.737,0.682,0.789,0.789,0.236,0.152,0.108,0.211,8,1062.37,1,6,1,7,7,103,88,1027.67
S89,C2,24,F,0.75,0.556,0.882,0.714,0.889,0.889,High,0.895,0.789,0.737,0.684,0.684,0.392,0.07,0.191,0.078,8,901.55,5,9,2,11,7,207,156,1142.26
S9,C1,23,M,0.313,0.278,0.824,0.357,0.944,0.5,Medium,0.579,0.579,0.643,0.588,0.842,0.281,0.252,0.047,0.259,6,543.44,6,8,1,9,7,207,344,862.56
S90,C2,22,M,0.813,0.667,0.765,0.786,1,0.667,Medium,0.579,0.684,0.643,0.588,0.588,0.238,0.061,0.262,0.262,4,1292.97,5,8,9,18,6,113,149,757.38
